playlist.id,playlist.name,TOP_1_keyword,TOP_1_keyword_freq,TOP_2_keyword,TOP_2_keyword_freq,TOP_3_keyword,TOP_3_keyword_freq,TOP_4_keyword,TOP_4_keyword_freq,TOP_5_keyword,TOP_5_keyword_freq,TOP_6_keyword,TOP_6_keyword_freq,TOP_7_keyword,TOP_7_keyword_freq,TOP_8_keyword,TOP_8_keyword_freq,TOP_9_keyword,TOP_9_keyword_freq,TOP_10_keyword,TOP_10_keyword_freq
2SRbIs0eBQwHeTP7kErjwo,Tropical House 🏝 2020 Hits,oh,73,love,58,got,44,hold,31.0,yeah,30.0,look,30.0,us,29.0,day,26.0,parallel,24.0,na,23.0
0vbtbmyihyvl2MVYrdKdGw,Tropical Morning,oh,186,love,162,na,105,let,101.0,got,81.0,know,73.0,try,64.0,talk,64.0,gon,61.0,baby,58.0
37i9dQZF1DX0ES2mnOVvai,Tropical Nights,music,1,contain,1,words,1,,,,,,,,,,,,,,
37i9dQZF1DX6RA5ZrA5a23,Tropical Vibes,na,123,like,85,somebody,71,yeah,59.0,let,37.0,know,35.0,love,34.0,one,34.0,oh,34.0,gon,33.0
4EKXjB5zlv2DpTS84h407H,URBAN NATION,jump,52,place,14,right,14,know,12.0,left,12.0,go,10.0,le,8.0,like,8.0,done,8.0,bang,8.0
37i9dQZF1DWTHM4kX49UKs,Ultimate Indie Presents... Best Indie Tracks of the 2010s,know,418,say,401,oh,366,like,353.0,get,335.0,make,285.0,never,280.0,girl,265.0,time,238.0,see,235.0
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,get,101,la,94,ayy,94,yeah,77.0,know,74.0,na,73.0,back,65.0,home,58.0,like,56.0,life,55.0
1dsaMvnC1hXPCNGC4aVtjj,Ultimate Throwbacks Collection,love,277,like,253,know,252,baby,221.0,na,209.0,get,205.0,yeah,203.0,oh,172.0,got,167.0,girl,163.0
29jj7pQlDqnWclbHQk21Rq,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,music,3,us,2,listen,2,hear,2.0,everywhere,2.0,might,1.0,levitate,1.0,wind,1.0,air,1.0,light,1.0
5NTm3injIRkUMROsZr3C2O,Unplugged Hits 📣,oh,293,like,173,know,167,na,158.0,love,148.0,yeah,131.0,go,118.0,let,111.0,time,100.0,want,88.0
4Pbs84EQbuAblxlp6Chz0d,Urban Contemporary,love,527,got,524,know,464,na,414.0,like,392.0,yeah,313.0,baby,309.0,oh,279.0,get,253.0,want,247.0
1ZlL3IQS8eB0s0RMxz02yD,Urban contemporary,know,208,oh,206,na,166,love,163.0,like,136.0,let,125.0,got,123.0,home,119.0,never,119.0,hold,98.0
5CK0fshHcik1vWyeCc0zat,Urban/Trap - Contemporary RAP,got,309,nigga,246,like,245,ai,203.0,get,193.0,fuck,156.0,shit,154.0,know,135.0,money,134.0,god,131.0
0VsVywryrqLhHmsVFVcOAg,Urbano: Latino Vibes,song,2,released,2,lyrics,1,yet,1.0,please,1.0,check,1.0,back,1.0,,,,,,
6BKqPGcrFMy6TczW0R5Vsz,Vault: Def Leppard Greatest Hits,get,103,oh,71,love,67,let,65.0,got,63.0,want,48.0,yeah,46.0,come,45.0,like,38.0,rock,29.0
5HmZtuuIDMtIy21kylqhx6,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,want,17,could,15,wan,13,na,13.0,need,12.0,rewind,12.0,wished,11.0,shameless,6.0,ya,6.0,last,6.0
37i9dQZF1DX3fXJqxGjuEP,Vibra Tropical,que,14,yo,13,quiero,12,tú,12.0,quieras,12.0,tal,12.0,cual,12.0,say,12.0,hear,8.0,love,8.0
7EPbNmUW9nkRplDLSN9te4,VidaLoca - Latin / Raggaeton / Hip Hop ©,wine,82,dem,71,mi,58,take,52.0,wan,47.0,nuh,46.0,see,34.0,ca,31.0,di,30.0,time,29.0
0DdGqNa18DwYyfIR05OrW1,Viral Southern Hip Hop,pose,154,bitch,76,like,71,na,63.0,yeah,57.0,got,55.0,talk,50.0,shit,46.0,get,45.0,ai,36.0
5PCAWKfUWAUj8VeY8G7xRQ,Vocal House,like,140,love,98,boys,94,oh,91.0,got,86.0,know,82.0,na,73.0,calling,66.0,keep,52.0,feel,52.0
64k01l4j6QtnZ8jMaI84AA,Waves Pop and EDM,uh,72,right,27,dance,22,might,18.0,like,18.0,hit,18.0,know,16.0,never,16.0,come,15.0,put,15.0
37i9dQZF1DX1lwxXvReaux,Workday: Rock Classics,la,208,yeah,144,night,114,want,98.0,na,96.0,got,94.0,back,88.0,love,80.0,heart,78.0,long,77.0
4TG1lzMD9HFvZ9E1Bk6Gnu,Workout Hard Rock,away,149,never,135,feel,118,got,108.0,na,107.0,oh,103.0,let,94.0,like,94.0,inside,84.0,know,83.0
71UHE27ayQs8ZDxQwY0cY1,[EAS]: Festival Big Room,head,15,voices,11,hear,3,turn,3.0,bass,3.0,seeking,2.0,whispering,2.0,room,2.0,night,2.0,hunting,2.0
4gbXqmZDUFHqlaYjf4uVyS,a taste of the mainstream,yeah,220,know,202,na,184,like,174.0,got,172.0,go,148.0,get,145.0,love,139.0,oh,137.0,wan,112.0
2oalsaFUockoPf1DU3wrL8,big boom room — TOMORROWLAND EDC EDM BIG ROOM AMF ADE DANCE TRANCE HARDWELL TIESTO,little,77,let,70,beautiful,59,every,54.0,life,53.0,day,53.0,coming,51.0,cause,44.0,need,43.0,light,41.0
1E5VdGGWkpDQ682gdvJAZH,indie poptimism,love,235,time,233,know,222,like,200.0,oh,175.0,na,132.0,get,131.0,got,126.0,find,123.0,eyes,101.0
6MQeEHHDs6HQkN5Dlj3oKo,indie poptimism🕺🏻,yeah,335,ooh,240,ca,236,macarena,210.0,know,193.0,one,185.0,get,158.0,ayy,157.0,na,150.0,oh,150.0
4PjiT7SWnUsTTTvKOuR76f,keg party jukebox,give,207,got,151,oh,147,like,136.0,love,129.0,get,102.0,away,100.0,want,99.0,never,95.0,one,90.0
3nH8aytdqNeRbcRCg3dw9q,latin hip hop,te,35,calypso,32,ah,31,feelin,30.0,made,30.0,ooh,26.0,get,26.0,ayy,26.0,right,25.0,que,24.0
7rPsfDTqiZYIT4PVzQ4c0c,permanent wave,oh,216,love,143,know,121,go,114.0,time,110.0,away,109.0,like,106.0,yeah,106.0,na,105.0,let,95.0
6rjxP7GQKoqqgoakzxl3PY,post teen pop,na,1151,oh,996,yeah,775,got,639.0,like,639.0,love,575.0,know,561.0,baby,475.0,want,437.0,gon,384.0
1y42gwI5cuwjBslPyQNfqb,"post-teen alternative, indie, pop (large variety)",love,302,know,302,na,291,tonight,239.0,wan,196.0,like,195.0,want,182.0,yeah,182.0,oh,178.0,high,170.0
4TvZA7Pml7mHLgbwNomlnm,post-teen pop,like,122,baby,59,oh,55,cha,52.0,get,51.0,know,49.0,let,46.0,na,46.0,see,42.0,yeah,42.0
49qyKvg6UAQAvIMUIGMnP3,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,na,279,oh,201,know,181,gon,161.0,take,127.0,love,126.0,say,125.0,like,121.0,go,112.0,away,106.0
1nFfDHtp8RY3obgen8KODl,urban CONTEMPORARY,love,248,know,195,let,147,oh,138.0,like,133.0,na,124.0,say,121.0,yeah,111.0,got,110.0,need,108.0
4WiB26kw0INKwbzfb5M6Tv,urban contemporary,love,288,know,286,got,219,let,209.0,baby,190.0,like,170.0,oh,163.0,never,149.0,na,145.0,ca,121.0
37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,love,114,know,99,night,94,got,71.0,yeah,68.0,oh,68.0,na,65.0,take,59.0,ca,57.0,get,53.0
2bOjjgN1S3Gqd8vSMyafvJ,②⓪①⑨ mixed,love,85,let,82,time,54,na,54.0,know,49.0,say,44.0,come,44.0,oh,43.0,away,43.0,feel,37.0
0Hr2h94pKN8QAGVAgD6BsD,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,got,424,yeah,383,like,340,get,298.0,bitch,282.0,nigga,238.0,know,229.0,ai,180.0,niggas,156.0,want,147.0
6jI1gFr6ANFtT8MmTvA2Ux,♥ EDM LOVE 2020,oh,105,like,103,know,88,get,73.0,night,64.0,got,63.0,tonight,60.0,love,54.0,never,54.0,falling,52.0
0AFYmoSuoMQiGGjzvBwr6u,💊ELECTRO-HOUSE-TECH💊,low,274,boom,167,losing,133,disco,67.0,let,66.0,control,65.0,make,61.0,mash,48.0,place,48.0,like,47.0
4GSiiL8tcMgvoV7K1IADb8,🔊BASSBOOSTED🔊⚡ELECTRO HOUSE⚡🔥EDM CAR MUSIC2018/2019🔥,yuh,98,got,88,di,84,know,76.0,oh,68.0,yeah,67.0,uh,63.0,go,59.0,said,54.0,things,52.0
3jPkaExIWXQWklcmmF5180,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",yeah,609,like,568,got,555,bitch,387.0,get,360.0,know,336.0,nigga,319.0,niggas,312.0,shit,288.0,fuck,275.0
1d0fonZHpN4LYHTKbmNRbm,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,ik,58,yeah,57,fallin,47,ey,44.0,ghetto,42.0,move,35.0,wine,35.0,je,31.0,shawty,26.0,youth,25.0
6IT8LGpwLw3Pt2XnVUBN7j,🤩🤪Post Teen Pop🤪🤩,oh,281,like,264,na,253,baby,233.0,yeah,203.0,love,155.0,know,127.0,want,124.0,got,106.0,get,99.0
